
CWAP 1  Fail , Test time : 20180706-111351
CWAP 10.90.1.4  Fail , Test time : 20180730-094903
CWAP 1  Fail , Test time : 20180730-100922
CWAP 1  Fail , Test time : 20180730-100956
CWAP 9  Fail , Test time : 20180730-101159
CWAP 9  Fail , Test time : 20180730-101238
CWAP 3  Fail , Test time : 20180730-102724
CWAP 45  Fail , Test time : 20180730-102747
CWAP 10  Fail , Test time : 20180730-103127
CWAP sd  Fail , Test time : 20180730-103150
CWAP q  Fail , Test time : 20180829-093642
CWAP s  Fail , Test time : 20180829-101508
CWAP 1  Fail , Test time : 20180829-101609
